linear,b,d,n_samples,alpha,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.1,0.1,100,0.001,0.4702442380460956,288,1,6547,7699,0
False,0.1,0.1,100,0.005,0.48840729274165806,562,11,6537,7425,0
False,0.1,0.1,100,0.01,0.5040247678018576,807,29,6519,7180,0
False,0.1,0.1,100,0.05,0.5682146542827657,1855,144,6404,6132,0
False,0.1,0.1,100,0.1,0.608531131750946,2598,301,6247,5389,0
False,0.1,0.1,100,0.001,0.45964912280701753,182,49,6499,7805,0
False,0.1,0.1,100,0.005,0.469625042999656,355,77,6471,7632,0
False,0.1,0.1,100,0.01,0.47519779841761267,481,122,6426,7506,0
False,0.1,0.1,100,0.05,0.5058823529411764,1186,381,6167,6801,0
False,0.1,0.1,100,0.1,0.5276917784657722,1789,667,5881,6198,0
False,0.1,0.1,100,0.001,0.4548331613347093,72,9,6539,7915,0
False,0.1,0.1,100,0.005,0.4617131062951496,185,22,6526,7802,0
False,0.1,0.1,100,0.01,0.46790505675954597,293,40,6508,7694,0
False,0.1,0.1,100,0.05,0.5001031991744066,929,208,6340,7058,0
False,0.1,0.1,100,0.1,0.5234950120399037,1516,455,6093,6471,0
False,0.1,0.1,100,0.001,0.4639834881320949,222,26,6522,7765,0
False,0.1,0.1,100,0.005,0.4749914000687995,416,60,6488,7571,0
False,0.1,0.1,100,0.01,0.4853113175094599,598,92,6456,7389,0
False,0.1,0.1,100,0.05,0.5273477812177503,1413,296,6252,6574,0
False,0.1,0.1,100,0.1,0.5543859649122806,2072,562,5986,5915,0
False,0.1,0.1,100,0.001,0.45173718610251123,49,31,6517,7938,0
False,0.1,0.1,100,0.005,0.45517715858273133,143,75,6473,7844,0
False,0.1,0.1,100,0.01,0.46040591675266596,252,108,6440,7735,0
False,0.1,0.1,100,0.05,0.49308565531475745,946,327,6221,7041,0
False,0.1,0.1,100,0.1,0.5171654626762986,1592,623,5925,6395,0
False,0.1,0.1,100,0.001,0.45290677674578605,50,15,6533,7937,0
False,0.1,0.1,100,0.005,0.4560027519779841,123,43,6505,7864,0
False,0.1,0.1,100,0.01,0.4582731338149295,189,76,6472,7798,0
False,0.1,0.1,100,0.05,0.4757481940144479,588,221,6327,7399,0
False,0.1,0.1,100,0.1,0.4939800481596147,1058,426,6122,6929,0
False,0.1,0.1,100,0.001,0.4647402820777434,248,41,6507,7739,0
False,0.1,0.1,100,0.005,0.4731338149294806,420,91,6457,7567,0
False,0.1,0.1,100,0.01,0.4785689714482284,543,135,6413,7444,0
False,0.1,0.1,100,0.05,0.5089783281733746,1274,424,6124,6713,0
False,0.1,0.1,100,0.1,0.531062951496388,1957,786,5762,6030,0
False,0.1,0.1,100,0.001,0.46611627106983144,238,11,6537,7749,0
False,0.1,0.1,100,0.005,0.4831097351221191,524,50,6498,7463,0
False,0.1,0.1,100,0.01,0.499484004127967,787,75,6473,7200,0
